Node_ID,Recommendation_ID,Action_Type,Estimated_Savings_kWh,Estimated_Cost_Savings_USD,Implementation_Difficulty
Node_178,Rec_1,Switch Energy Source,1284.092878214242,7605.975071796556,High
Node_202,Rec_2,Switch Energy Source,1232.1712850833949,5682.00405708032,Medium
Node_113,Rec_3,Optimize Routing,471.98499722116287,10496.09638766698,Low
Node_66,Rec_4,Optimize Routing,1483.3393103507294,1756.6304573370433,High
Node_220,Rec_5,Optimize Routing,279.9298569211458,8297.754524137992,High
Node_111,Rec_6,Optimize Routing,478.3662538606502,6117.03675209591,Medium
Node_82,Rec_7,Switch Energy Source,991.7009259149081,3880.873198952891,Medium
Node_256,Rec_8,Upgrade Equipment,247.4674546220341,5773.702886388333,Medium
Node_134,Rec_9,Upgrade Equipment,1269.1579110536338,10377.516162724638,Medium
Node_60,Rec_10,Switch Energy Source,394.8279986259517,4116.824043747445,Low
Node_297,Rec_11,Switch Energy Source,85.89490364984576,9740.80973435334,High
Node_188,Rec_12,Upgrade Equipment,653.3357319517625,7234.044010913747,High
Node_69,Rec_13,Implement Load Balancing,820.9387601059709,3676.5950579161195,Low
Node_2,Rec_14,Upgrade Equipment,971.0309922293725,3601.008622984405,High
Node_267,Rec_15,Implement Load Balancing,361.30324205930873,102.81714344349162,Medium
Node_214,Rec_16,Optimize Routing,870.6446150828292,7891.039692392104,Medium
Node_64,Rec_17,Implement Load Balancing,913.4203620502465,11406.961585147641,High
Node_57,Rec_18,Upgrade Equipment,1001.0134201434652,4999.464918774238,Low
Node_187,Rec_19,Implement Load Balancing,337.28003622402827,3506.332951324657,High
Node_63,Rec_20,Switch Energy Source,1453.3731648270402,12355.005627621702,Medium
Node_229,Rec_21,Upgrade Equipment,336.81988250341664,10983.896455585555,Medium
Node_72,Rec_22,Upgrade Equipment,330.34868932348456,12975.180675316122,High
Node_253,Rec_23,Upgrade Equipment,542.2750859296464,13814.458396172682,Low
Node_60,Rec_24,Switch Energy Source,262.6964521137647,3449.5937385605403,Low
Node_24,Rec_25,Optimize Routing,141.22945778041344,6172.600741578774,Low
Node_139,Rec_26,Optimize Routing,571.0727935847418,11189.801704147467,Low
Node_298,Rec_27,Optimize Routing,766.505561216852,14247.1914173245,Low
Node_74,Rec_28,Upgrade Equipment,1330.437841235985,13605.61013155205,Low
Node_54,Rec_29,Upgrade Equipment,739.4263750363026,1347.1253223684273,Low
Node_286,Rec_30,Switch Energy Source,811.915838579588,9876.062174180122,High
Node_196,Rec_31,Optimize Routing,1391.7792111348285,12869.672394442445,Medium
Node_190,Rec_32,Upgrade Equipment,947.0706419275716,2021.1263648462175,High
Node_231,Rec_33,Optimize Routing,996.2938529820506,3632.2765699261317,Low
