Node_ID,Date,Energy_Usage_kWh,Peak_Usage_Time,Energy_Source,Carbon_Emissions_kg_CO2,Type,Region,Latitude,Longitude,Population_Served,Connectivity_Status,Existing_Infrastructure
Node_223,2024-01-01,1341.4123530358818,Afternoon,Grid,347.7739112939197,Health Center,Pacific Ocean,1.1188345588360278,-155.54834307137952,4264,Connected,Yes
Node_170,2024-01-02,2929.277216668401,Morning,Solar,833.1063179938255,School,Angola,-20.258492329697404,-22.673525843263263,18983,Connected,Yes
Node_246,2024-01-03,2748.516650803184,Afternoon,Solar,674.690836000654,Health Center,Chile,-20.49033902329286,-67.83139175962012,16062,Connected,Yes
Node_7,2024-01-04,1787.5407844645056,Evening,Grid,970.1267355422012,School,French Guiana,5.352001107793242,-53.81027016063706,3637,Connected,Yes
Node_250,2024-01-05,268.12599092695683,Afternoon,Grid,903.8258420206496,School,Chile,-68.24861062851662,-19.88483700954725,9088,Connected,No
Node_244,2024-01-06,134.25778396910985,Afternoon,Grid,711.4638009400628,Government Office,Brazil,-23.283543993865564,-38.38243536594979,10970,Unconnected,Yes
Node_293,2024-01-07,154.4164100433742,Morning,Solar,1108.0329532015198,School,Antarctica,-78.43779280352578,-34.739941296151216,596,Connected,Yes
Node_5,2024-01-08,1004.8026611617784,Evening,Solar,813.765436979577,School,China,38.264492603635375,99.09352843917505,2523,Unconnected,No
Node_88,2024-01-09,431.6447105924627,Morning,Grid,554.7960017618457,School,Atlantic Ocean,2.2296711230080177,10.91709110058693,15168,Connected,No
Node_6,2024-01-10,787.3275368787957,Night,Grid,424.6178194311566,Health Center,South Atlantic Ocean,-43.697063435980745,-12.675467669413166,11704,Connected,No
Node_169,2024-01-11,772.9329116791162,Evening,Solar,245.6036752517582,School,Indian Ocean,-43.73788359267243,95.593028085664,18896,Connected,Yes
Node_10,2024-01-12,2161.213802261996,Evening,Solar,693.1519317115853,Health Center,Russia,83.25545023596217,110.66448755210403,3207,Connected,Yes
Node_255,2024-01-13,1001.562850864506,Night,Solar,171.9031090281746,School,Pacific Ocean,9.586143019297552,-102.63258672815428,15489,Unconnected,Yes
Node_73,2024-01-14,2246.935893351568,Night,Solar,627.693394213754,School,United States,41.1983428291835,-104.82970794708342,6934,Unconnected,Yes
Node_21,2024-01-15,1610.1683866666765,Night,Solar,1035.4284387166424,Health Center,Nepal,29.463823179196535,82.04164994059073,14169,Connected,Yes
Node_33,2024-01-16,555.6016592651249,Evening,Grid,913.1565473335964,Health Center,New Zealand,-37.9783625134495,169.25358589079548,14664,Connected,Yes
Node_298,2024-01-17,1336.5770245365752,Night,Grid,1061.4980547893504,Government Office,Pacific Ocean,-20.039183097846333,-112.77744121512096,5989,Connected,Yes
Node_63,2024-01-18,1700.926643187995,Night,Grid,119.13846571815164,School,Atlantic Ocean,8.930221418320315,-13.154278231153796,15488,Connected,Yes
Node_73,2024-01-19,725.7998887116405,Night,Solar,306.62866058512594,School,United States,41.1983428291835,-104.82970794708342,6934,Unconnected,Yes
Node_158,2024-01-20,2245.9528722196496,Afternoon,Solar,562.6479670052015,Government Office,Canada,59.27167604397803,-113.6956896875958,8591,Connected,Yes
Node_296,2024-01-21,2190.2847967410225,Afternoon,Grid,859.4412711237875,School,China,43.02883803069082,101.68278534109078,1845,Connected,No
Node_120,2024-01-22,921.3870697927554,Evening,Grid,493.02163772680376,School,Iran,32.2558171142185,53.26280285361807,313,Unconnected,Yes
Node_40,2024-01-23,953.9424683575004,Evening,Grid,744.3285857123705,School,Antarctica,-86.17497735782159,144.2210700811632,1243,Connected,Yes
Node_154,2024-01-24,2313.6208634762083,Morning,Solar,90.4192645814617,School,Venezuela,6.936198747486657,-67.30956136103441,1329,Connected,Yes
Node_88,2024-01-25,364.76874957874367,Afternoon,Grid,652.8114287520954,School,Atlantic Ocean,2.2296711230080177,10.91709110058693,15168,Connected,No
Node_208,2024-01-26,2832.187943555994,Morning,Grid,1055.3287037097089,School,Chile,-53.83980707279615,-83.65391013591466,14705,Unconnected,Yes
Node_34,2024-01-27,2643.4929294163608,Afternoon,Generator,1164.4465945708007,Government Office,Canada,77.90136032400798,-131.02613757716884,17113,Connected,Yes
Node_7,2024-01-28,400.3955882371905,Afternoon,Grid,1013.0985412153356,School,French Guiana,5.352001107793242,-53.81027016063706,3637,Connected,Yes
Node_173,2024-01-29,105.7478928340194,Night,Solar,1192.0766637316826,School,Democratic Republic of the Congo,-10.831772536556045,29.524245697279184,5124,Connected,Yes
Node_278,2024-01-30,2537.4847395636434,Evening,Grid,239.67877447213527,School,Australia,-40.34636862919178,122.40202192022316,9329,Connected,Yes
Node_248,2024-01-31,1902.7538526314745,Morning,Solar,10.150333034394292,Government Office,Russia,58.9998900857124,177.7248593062135,9397,Connected,Yes
Node_244,2024-02-01,1966.5240041114337,Afternoon,Grid,817.7470927553517,Government Office,Brazil,-23.283543993865564,-38.38243536594979,10970,Unconnected,Yes
Node_226,2024-02-02,2042.8974516434723,Night,Grid,624.3818689568981,School,Australia,-51.39104423756883,150.20013883686312,7309,Connected,No
Node_178,2024-02-03,2991.322376288737,Night,Solar,308.5169240847798,School,Pacific Ocean,-66.61701500536083,-134.9489911507235,12438,Unconnected,No
Node_212,2024-02-04,993.8929789649472,Morning,Grid,338.3637286136406,School,Antarctica,-80.03471977867927,93.72193013289888,3551,Connected,Yes
Node_154,2024-02-05,254.4009404687681,Evening,Grid,843.6635735341341,School,Venezuela,6.936198747486657,-67.30956136103441,1329,Connected,Yes
Node_108,2024-02-06,2731.512147011109,Morning,Solar,1096.3809298455017,Government Office,Morocco,34.68118468757969,-6.037822645870392,16510,Connected,Yes
Node_172,2024-02-07,2200.2779508661392,Night,Grid,896.1934825433274,Health Center,South Africa,-46.3372922079296,82.70497902125703,812,Connected,No
Node_215,2024-02-08,2974.992782313348,Morning,Solar,91.89453496290156,Health Center,Argentina,-45.80796844349493,-62.00394249213494,16320,Connected,Yes
Node_204,2024-02-09,1043.340386996657,Night,Grid,594.0394103582713,School,Antarctica,-84.72622635798626,12.79391547864708,14276,Connected,Yes
Node_199,2024-02-10,1323.4258323921397,Night,Solar,41.10678846809729,School,Myanmar,25.00364737035973,98.62545280670412,19243,Connected,Yes
Node_240,2024-02-11,2294.9187627477545,Evening,Grid,752.1151702075628,Health Center,Pacific Ocean,-28.93656328192752,-118.68207325719612,2577,Unconnected,Yes
Node_187,2024-02-12,255.56520413648215,Afternoon,Grid,1034.628083237381,Health Center,Honduras,16.922292875099302,-82.7220419806183,6118,Connected,Yes
Node_297,2024-02-13,1268.645255063358,Evening,Grid,824.5080647590619,School,Pacific Ocean,17.75815773892066,-121.21260988294009,18178,Connected,Yes
Node_180,2024-02-14,2213.9598420319944,Afternoon,Grid,17.440748024098276,School,Russia,63.0093295482254,158.6386955780673,5829,Connected,Yes
Node_276,2024-02-15,2295.1341265297287,Morning,Grid,229.7581399915169,Health Center,Turkey,42.4109821030961,28.76270182410792,15700,Connected,No
Node_272,2024-02-16,2980.796849172956,Afternoon,Grid,757.4430462286164,School,Algeria,26.458309394054357,2.4729093594201004,5353,Unconnected,Yes
Node_229,2024-02-17,278.3753197039181,Night,Grid,628.720780485342,School,Italy,40.32518340654116,10.873362103071829,15867,Unconnected,Yes
Node_87,2024-02-18,2084.8700836357702,Afternoon,Generator,799.7501464091927,Government Office,Pacific Ocean,-61.60078834584182,-105.29187416631176,14058,Connected,No
Node_192,2024-02-19,610.996546598542,Evening,Grid,956.9858247993648,School,Greenland,79.4978724896371,-67.57333344452375,17638,Connected,Yes
Node_170,2024-02-20,1286.2372109438356,Morning,Solar,226.81478432843429,School,Angola,-20.258492329697404,-22.673525843263263,18983,Connected,Yes
Node_214,2024-02-21,410.5187378828096,Morning,Solar,307.66999585756145,School,Pacific Ocean,-3.622712804685477,152.17595905634153,14511,Connected,Yes
Node_52,2024-02-22,2051.185966875309,Evening,Solar,243.10127014711773,Health Center,Pacific Ocean,13.57399348059836,-105.74641234137964,11917,Connected,Yes
Node_243,2024-02-23,941.0572788112028,Morning,Grid,125.5078284982385,Health Center,Canada,65.4095106834832,-78.10139036253065,18998,Connected,No
Node_250,2024-02-24,1417.8840780912508,Morning,Grid,836.7077691509267,School,Chile,-68.24861062851662,-19.88483700954725,9088,Connected,No
Node_41,2024-02-25,773.7903412689001,Night,Grid,67.65751488814624,School,Canada,54.34938897361624,-114.01916764675116,16696,Connected,Yes
Node_79,2024-02-26,285.14455122090874,Evening,Solar,558.3761469666672,Government Office,Pacific Ocean,9.95551696913016,-131.51242754701585,4445,Connected,No
Node_258,2024-02-27,1319.408414051801,Afternoon,Solar,305.2199310881096,School,Australia,-43.65414831533983,117.59028264930488,4763,Connected,Yes
Node_299,2024-02-28,146.9902779761165,Evening,Solar,318.48396209297704,Health Center,Atlantic Ocean,34.75244945934881,-17.28989132576035,1767,Connected,Yes
Node_155,2024-02-29,2155.8984648523947,Afternoon,Grid,606.025392281861,Health Center,South Atlantic Ocean,-61.67532733433049,34.13844427713951,16239,Unconnected,Yes
