Log_ID,Node_ID,Issue_Type,Resolution_Time_Hours,Technician_ID,Type,Region,Latitude,Longitude,Population_Served,Connectivity_Status,Existing_Infrastructure
Log_1,Node_124,Software,16.981123434387513,Tech_1,School,Antarctica,-76.74784668377085,42.350350826034855,19560,Connected,Yes
Log_2,Node_148,Hardware,43.696210419425455,Tech_2,Health Center,Pacific Ocean,-65.87570977798126,-178.34463773059431,11419,Connected,Yes
Log_3,Node_20,Connectivity,7.1505650856301335,Tech_3,School,South Atlantic Ocean,-56.44627595204656,3.653382984386468,372,Connected,Yes
Log_4,Node_273,Hardware,50.82705682047193,Tech_4,School,Greenland,86.60348677239512,-14.242063457587534,8558,Connected,No
Log_5,Node_119,Hardware,73.72826827608918,Tech_5,School,Antarctica,-81.1325248313502,145.16863609157753,7127,Unconnected,Yes
Log_6,Node_52,Software,25.45811373436654,Tech_6,Health Center,Pacific Ocean,13.57399348059836,-105.74641234137964,11917,Connected,Yes
Log_7,Node_57,Hardware,93.35045231755036,Tech_7,School,Antarctica,-89.09378638711172,109.26467273337757,12022,Connected,Yes
Log_8,Node_79,Connectivity,16.623984466304222,Tech_8,Government Office,Pacific Ocean,9.95551696913016,-131.51242754701585,4445,Connected,No
Log_9,Node_224,Connectivity,81.10123786461902,Tech_9,Health Center,Pacific Ocean,-38.79671036572147,-101.2899074987608,10830,Unconnected,Yes
Log_10,Node_160,Software,19.15078806802448,Tech_10,School,Russia,89.19618230134037,114.6308052376998,6695,Unconnected,Yes
Log_11,Node_140,Hardware,88.54353927283267,Tech_11,Government Office,Pacific Ocean,33.77974694729053,-155.80386169260288,12745,Connected,Yes
Log_12,Node_87,Software,41.8281130040958,Tech_12,Government Office,Pacific Ocean,-61.60078834584182,-105.29187416631176,14058,Connected,No
Log_13,Node_207,Hardware,54.38446262560552,Tech_13,School,South Africa,-52.50388064867988,33.267582557818855,11808,Connected,Yes
Log_14,Node_155,Hardware,50.68594682851536,Tech_14,Health Center,South Atlantic Ocean,-61.67532733433049,34.13844427713951,16239,Unconnected,Yes
Log_15,Node_51,Hardware,62.402536999762326,Tech_15,Health Center,Greenland,77.69676721734211,-61.87462744439159,4580,Connected,Yes
Log_16,Node_42,Software,36.9790755951388,Tech_16,School,Pacific Ocean,-51.2870096090986,-127.5180863016275,14237,Connected,Yes
Log_17,Node_124,Connectivity,87.63076048412641,Tech_17,School,Antarctica,-76.74784668377085,42.350350826034855,19560,Connected,Yes
Log_18,Node_247,Hardware,60.82287477039984,Tech_18,School,Antarctica,-89.71324624638223,92.5331668945559,10599,Connected,Yes
Log_19,Node_112,Connectivity,2.157070733418853,Tech_19,School,United States,40.20322706727271,-101.50118497204816,19288,Connected,Yes
Log_20,Node_152,Connectivity,64.35938338595798,Tech_20,School,Pacific Ocean,30.64823144932677,160.62710208401654,13767,Connected,Yes
Log_21,Node_223,Hardware,21.84322542037569,Tech_21,Health Center,Pacific Ocean,1.1188345588360278,-155.54834307137952,4264,Connected,Yes
Log_22,Node_9,Hardware,63.29094676864511,Tech_22,School,South Atlantic Ocean,-43.492342831069685,-29.178955428981283,13261,Unconnected,Yes
Log_23,Node_261,Software,45.17466028221338,Tech_23,School,Pacific Ocean,-31.19164531162032,-131.15323424224513,4740,Connected,No
Log_24,Node_284,Software,57.60752319016608,Tech_24,School,Atlantic Ocean,22.015195159217427,-22.039685238021264,19117,Connected,Yes
Log_25,Node_202,Software,34.47877445872122,Tech_25,Health Center,South Africa,-60.87170020687084,26.01238935132088,6849,Unconnected,Yes
